Time,Speed,Acceleration,Distance,Latitude,Longitude,Camel ID,Racing Status,r_status
00:00:00.011,4.04,1.13,1.02,25.1479207,56.3438335,C2,RACING,OFF
00:00:01.000,6.54,0.7,1.74,25.1479124,56.3438377,C2,RACING,OFF
00:00:02.001,8.3,-0.62,2.7,25.1478975,56.3438429,C2,RACING,OFF
00:00:03.001,5.78,-1.7,3.05,25.1478889,56.3438436,C2,RACING,OFF
00:00:04.003,7.67,1.8,4.75,25.1478919,56.3438449,C2,RACING,OFF
00:00:05.003,8.81,-0.24,5.12,25.1478939,56.3438282,C2,RACING,OFF
00:00:06.004,6.71,-0.03,5.64,25.1478941,56.3438245,C2,RACING,OFF
00:00:07.003,7.05,-0.18,6.82,25.1478987,56.3438255,C2,RACING,OFF
00:00:08.001,114.55,0.42,11.09,25.1478885,56.3438224,C2,RACING,OFF
00:00:09.001,8.35,2.78,17.61,25.147851,56.3438131,C2,RACING,OFF
00:00:10.001,9.99,0.18,23.18,25.1477933,56.3438243,C2,RACING,OFF
00:00:11.012,8.08,-0.53,24.86,25.1477435,56.3438307,C2,RACING,OFF
00:00:12.001,7.92,-0.04,29.66,25.1477558,56.343821,C2,RACING,OFF
00:00:13.002,6,-1.53,33.27,25.1477304,56.3438595,C2,RACING,OFF
00:00:14.003,4.54,-0.41,36.29,25.1476998,56.3438716,C2,RACING,OFF
00:00:15.003,3.8,-0.2,37.28,25.1476732,56.3438773,C2,RACING,OFF
00:00:16.001,3.5,-0.5,37.28,25.1476675,56.3438849,C2,RACING,OFF
00:00:17.000,3.2,-0.6,37.28,25.1476954,56.3438897,C2,RACING,OFF
00:00:18.001,5.51,1.7,38.5,25.1477097,56.3438849,C2,RACING,OFF
00:00:19.002,2.12,-0.39,40.36,25.1477073,56.3438731,C2,RACING,OFF
00:00:20.001,4.83,1.2,40.99,25.147724,56.3438749,C2,RACING,OFF
00:00:21.002,3.68,-0.04,41.76,25.1477293,56.3438729,C2,RACING,OFF
00:00:22.011,2.19,-0.14,43.39,25.1477326,56.3438661,C2,RACING,OFF
00:00:23.001,3.3,0.53,44.85,25.1477472,56.3438654,C2,RACING,OFF
